ces_industry,employment,growth
42452319,,
42453000,819.29999,-.29208037
42453100,,
42453200,,
42453210,,
42453220,,
42453300,,
42453900,,
42453910,,
42453920,,
42453990,,
42454000,549.70001,-.25403073
42454100,,
42454200,,
42454300,,
42454310,,
42454390,,
43000000,5672.3999,-.086306915
43481000,512.70001,.31305146
43481100,,
43481200,,
43482000,157.5,-1.3157933
43483000,64.900002,-.15384381
43484000,1527.9,-.013084954
43484100,,
43484110,,
43484120,,
43484121,,
43484122,,
43484200,,
43484210,,
43484220,,
43484230,,
43485000,504.60001,-.78647268
43485300,,
43485310,,
43485320,,
43485400,,
43485500,,
43485900,,
43486000,51,.99009901
43487000,35.700001,-3.7735789
43488000,757,-.760355
43488100,,
43488110,,
43488300,,
43488320,,
43488390,,
43488400,,
43488500,,
43488900,,
43492000,846.09998,-.18875034
43492100,,
43492200,,
43493000,1215,.67947888
43493110,,
43493120,,
43493190,,
44220000,547.90002,.14623448
44221100,,
44221110,,
44221112,,
44221118,,
44221120,,
44221121,,
44221122,,
44221200,,
44221300,,
50000000,2899,.069036938
50511000,770.90002,.077896483
50511100,,
50511110,,
50511120,,
50511130,,
50511190,,
50511200,,
50512000,455,-.54644811
50512110,,
50512130,,
50515000,263.70001,.22805248
50515100,,
50515110,,
50515120,,
50515200,,
50517000,699.59998,-.24240871
50517300,,
50517311,,
50517312,,
50517900,,
50517911,,
50518000,352.29999,.54223573
50519000,357.29999,.76141614
50519130,,
50519190,,
55000000,8853,-.01129433
55520000,6497.5,.038491149
55521000,19.6,1.5544101
55522000,2682.7,.033555906
55522100,1785.2,-.16218469
55522110,1391.7,-.19363692
55522120,,
55522190,,
55522200,590.09998,.45964438
55522210,,
55522220,,
55522290,,
55522291,,
55522292,,
55522298,,
55522300,307.39999,.35912704
55522310,,
55522320,,
55522390,,
55523000,970.59998,.072167352
55523120,,
55523200,,
55523900,,
55523910,,
55523920,,
55523930,,
55523990,,
55524000,2824.6001,.021249916
55524100,,
55524110,,
55524113,,
55524114,,
55524120,,
55524126,,
55524128,,
55524130,,
55524200,,
55524210,,
55524290,,
55524291,,
55524292,,
55524298,,
55530000,2355.2,-.14415951
55531000,1750.4,.02857306
55531100,,
55531110,,
55531120,,
55531130,,
55531190,,
55531200,,
55531300,,
55531310,,
55531311,,
55531312,,
55531320,,
55531390,,
55532000,581.20001,-.64957058
55532100,,
55532110,,
55532120,,
55532200,,
55532283,,
55532300,,
55532400,,
55532410,,
55532490,,
55533000,23.6,-.42194253
60000000,21507,-.24119857
60540000,9712.0996,.066971645
60541100,1160.5,-.14627011
60541110,,
60541190,,
60541200,1041.6,.39517838
60541211,,
60541213,,
60541214,,
60541219,,
60541300,1537.5,-.052008633
60541310,,
60541320,,
60541340,,
60541370,,
60541380,,
60541400,143.7,-.82815528
60541410,,
60541430,,
60541500,2256.8,.16866617
60541511,,
60541512,,
60541513,,
60541519,,
60541600,1563.3,.12809837
60541610,,
60541611,,
60541612,,
60541613,,
60541614,,
60541618,,
60541620,,
60541690,,
60541700,749.70001,.13356484
60541710,,
60541713,,
60541714,,
60541715,,
60541720,,
60541800,490.70001,-.52705771
60541810,,
60541820,,
60541840,,
60541850,,
60541860,,
60541890,,
