ces_industry,employment,growth
41423120,174.5,
41423200,115.2,
41423210,51.599998,
41423220,63.900002,
41423300,247.3,
41423310,110.9,
41423320,65.599998,
41423390,70.400002,
41423400,696.40002,
41423420,78.599998,
41423430,225.8,
41423450,264,
41423490,127.8,
41423500,136.60001,
41423600,358.5,
41423610,180.3,
41423690,178.10001,
41423700,289.5,
41423710,91,
41423720,111.9,
41423740,86.599998,
41423800,720.5,
41423810,94.800003,
41423820,102,
41423830,332,
41423840,99.900002,
41423850,56.099998,
41423860,35.299999,
41423900,295.20001,
41423910,53.599998,
41423930,102.4,
41423940,37.5,
41423990,101.9,
41424000,2180.3999,-6.6960139
41424100,126.2,
41424120,60.900002,
41424130,65.400002,
41424200,240.10001,
41424300,153.89999,
41424330,73.800003,
41424400,801.5,
41424410,248.8,
41424480,103.1,
41424500,69.5,
41424510,40.700001,
41424600,148,
41424700,101.1,
41424800,204.2,
41424810,112.3,
41424820,92.099998,
41424900,334.10001,
41424910,120.3,
41424920,32.099998,
41424930,49.099998,
41424990,132.7,
41425000,532.79999,-5.7432389
41425110,34,
41425120,499.10001,
42000000,15672,-12.78331
42441000,2063.7,-15.380138
42441100,1309.4,-15.350542
42441110,1148.3,
42441120,164.5,
42441200,165.60001,-22.222223
42441210,49.599998,
42441220,115.7,
42441300,588.70001,-13.521319
42441310,391.70001,
42441320,197.39999,
42442000,470.70001,-37.773533
42442100,220.39999,
42442200,249.5,
42442210,69.900002,
42442290,179.7,
42443000,475.29999,-28.550386
42443141,48.200001,
42443142,427.79999,
42444000,1309.3,1.3594995
42444100,1150.7,
42444110,711.59998,
42444120,41.299999,
42444130,158.3,
42444190,240.60001,
42444200,156.39999,
42444210,30.6,
42444220,126,
42445000,3090.2,.084140107
42445100,2701.8,
42445110,2538.5,
42445120,163.10001,
42445200,226.3,
42445220,68,
42445230,41.599998,
42445290,117.2,
42445300,161.8,
42446000,1058.3,-11.972037
42446110,698.59998,
42446120,175.8,
42446130,70.800003,
42446190,112.9,
42446191,53.700001,
42446199,59.299999,
42447000,947.20001,-5.595439
42447110,846.70001,
42447190,101.1,
42448000,1289.1,-53.851521
42448100,969.09998,
42448110,48.900002,
42448120,254.8,
42448130,43.5,
42448140,455.29999,
42448150,49,
42448190,115.2,
42448200,195,
42448300,125.7,
42451000,549.79999,-31.08403
42451100,467.70001,
42451110,276.29999,
42451120,125.5,
42451130,36.5,
42451140,33,
42451200,79.300003,
42452000,3046.8,-3.3543372
42452200,1078.5,-21.270285
42452300,1968.3,6.4624267
42452311,1449.9,
42452319,521.20001,
42453000,820.40002,-27.072163
42453100,56.900002,
42453200,227.2,
42453210,92.599998,
42453220,135.2,
42453300,180.39999,
42453900,354.5,
42453910,123.2,
42453920,15.3,
42453990,216.60001,
42454000,551.20001,-4.3178496
42454100,373.89999,
42454200,41.599998,
42454300,136.39999,
42454310,70.699997,
42454390,65.699997,
43000000,5678.1001,-10.253433
43481000,511.20001,-25.039124
43481100,464.39999,
43481200,46.700001,
43482000,159.89999,-4.1901169
43483000,64.900002,-12.480742
43484000,1527.3,-6.265964
43484100,1060,
43484110,274.60001,
43484120,785.20001,
43484121,528.70001,
43484122,256.60001,
43484200,469.70001,
43484210,96,
43484220,235.5,
43484230,138.7,
43485000,508.20001,-35.222351
43485300,70.5,
43485310,33,
43485320,37.599998,
43485400,212.2,
43485500,108.9,
43485900,117.7,
43486000,50.5,1.1881158
43487000,36.700001,-53.133514
43488000,763.79999,-11.848652
43488100,238.2,
43488110,113.6,
43488300,100.2,
43488320,68.599998,
43488390,31.799999,
43488400,104.4,
43488500,239.3,
43488900,81.199997,
