Context,Code,Occupation
46,25-2021.00,"Elementary School Teachers, Except Special Education"
46,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
46,27-3091.00,Interpreters and Translators
45,39-9011.00,Childcare Workers
45,45-3031.00,Fishing and Hunting Workers
45,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
45,37-2012.00,Maids and Housekeeping Cleaners
43,25-2059.01,Adapted Physical Education Specialists
43,35-2012.00,"Cooks, Institution and Cafeteria"
43,21-1013.00,Marriage and Family Therapists
41,51-9151.00,Photographic Process Workers and Processing Machine Operators
40,21-2011.00,Clergy
40,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
40,29-2081.00,"Opticians, Dispensing"
40,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
39,19-4021.00,Biological Technicians
38,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
38,29-9092.00,Genetic Counselors
38,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
37,21-1021.00,"Child, Family, and School Social Workers"
37,35-3041.00,"Food Servers, Nonrestaurant"
37,39-9032.00,Recreation Workers
36,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
36,33-2022.00,Forest Fire Inspectors and Prevention Specialists
36,47-2151.00,Pipelayers
36,39-5094.00,Skincare Specialists
35,39-9011.01,Nannies
34,19-1012.00,Food Scientists and Technologists
34,43-4121.00,"Library Assistants, Clerical"
34,11-9111.00,Medical and Health Services Managers
34,49-9052.00,Telecommunications Line Installers and Repairers
34,43-3071.00,Tellers
33,49-9062.00,Medical Equipment Repairers
32,19-1011.00,Animal Scientists
32,17-2031.00,Bioengineers and Biomedical Engineers
32,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
32,25-2058.00,"Special Education Teachers, Secondary School"
31,25-2032.00,"Career/Technical Education Teachers, Secondary School"
31,39-1013.00,First-Line Supervisors of Gambling Services Workers
31,33-3031.00,Fish and Game Wardens
31,31-9011.00,Massage Therapists
31,43-4171.00,Receptionists and Information Clerks
31,49-3092.00,Recreational Vehicle Service Technicians
30,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
30,25-1042.00,"Biological Science Teachers, Postsecondary"
30,43-4061.00,"Eligibility Interviewers, Government Programs"
30,49-9044.00,Millwrights
30,43-2011.00,"Switchboard Operators, Including Answering Service"
29,53-6051.01,Aviation Inspectors
29,39-1022.00,First-Line Supervisors of Personal Service Workers
29,25-1071.00,"Health Specialties Teachers, Postsecondary"
29,19-5012.00,Occupational Health and Safety Technicians
29,51-9083.00,Ophthalmic Laboratory Technicians
29,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
28,19-1021.00,Biochemists and Biophysicists
28,41-2011.00,Cashiers
28,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
28,43-9061.00,"Office Clerks, General"
27,45-2021.00,Animal Breeders
27,41-2012.00,Gambling Change Persons and Booth Cashiers
27,39-3011.00,Gambling Dealers
27,39-5092.00,Manicurists and Pedicurists
27,21-1014.00,Mental Health Counselors
27,43-5041.00,"Meter Readers, Utilities"
27,53-6061.00,Passenger Attendants
27,53-1042.01,Recycling Coordinators
27,51-8031.00,Water and Wastewater Treatment Plant and System Operators
26,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
26,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
26,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
26,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
26,47-4051.00,Highway Maintenance Workers
26,49-9071.00,"Maintenance and Repair Workers, General"
26,21-1023.00,Mental Health and Substance Abuse Social Workers
26,37-2021.00,Pest Control Workers
26,47-5043.00,"Roof Bolters, Mining"
26,11-9151.00,Social and Community Service Managers
26,51-8021.00,Stationary Engineers and Boiler Operators
25,53-2012.00,Commercial Pilots
25,27-1023.00,Floral Designers
25,13-1041.04,Government Property Inspectors and Investigators
25,51-8013.04,Hydroelectric Plant Technicians
