Importance,Level,Code,Occupation
73,73,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
73,61,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
72,66,13-1041.06,Coroners
72,66,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
72,64,29-2052.00,Pharmacy Technicians
71,65,47-5081.00,Helpers--Extraction Workers
71,65,39-5094.00,Skincare Specialists
71,61,11-9121.01,Clinical Research Coordinators
71,60,25-2054.00,"Special Education Teachers, Secondary School"
71,56,43-4171.00,Receptionists and Information Clerks
70,62,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
70,55,53-6061.00,"Transportation Attendants, Except Flight Attendants"
70,54,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
69,69,29-1069.09,Preventive Medicine Physicians
69,63,39-6012.00,Concierges
69,57,11-9039.02,Fitness and Wellness Coordinators
69,54,25-2012.00,"Kindergarten Teachers, Except Special Education"
68,68,25-1066.00,"Psychology Teachers, Postsecondary"
68,62,39-9032.00,Recreation Workers
68,61,11-9081.00,Lodging Managers
68,60,21-1093.00,Social and Human Service Assistants
67,69,33-3051.03,Sheriffs and Deputy Sheriffs
67,60,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
67,46,35-3041.00,"Food Servers, Nonrestaurant"
67,45,35-2012.00,"Cooks, Institution and Cafeteria"
66,59,29-2011.00,Medical and Clinical Laboratory Technologists
66,47,53-3022.00,"Bus Drivers, School or Special Client"
66,31,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
65,61,25-2032.00,"Career/Technical Education Teachers, Secondary School"
65,53,43-6013.00,Medical Secretaries
65,52,39-9031.00,Fitness Trainers and Aerobics Instructors
64,60,33-3012.00,Correctional Officers and Jailers
64,59,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
64,56,39-3091.00,Amusement and Recreation Attendants
64,54,31-9093.00,Medical Equipment Preparers
64,52,13-1071.00,Human Resources Specialists
63,53,53-3021.00,"Bus Drivers, Transit and Intercity"
63,53,45-4022.00,Logging Equipment Operators
63,52,33-9011.00,Animal Control Workers
63,47,25-9041.00,Teacher Assistants
63,46,39-5093.00,Shampooers
62,66,33-2022.00,Forest Fire Inspectors and Prevention Specialists
62,63,49-9051.00,Electrical Power-Line Installers and Repairers
62,57,43-6011.00,Executive Secretaries and Executive Administrative Assistants
62,56,19-3031.01,School Psychologists
62,54,43-2011.00,"Switchboard Operators, Including Answering Service"
62,52,39-5011.00,Barbers
62,51,39-1021.00,First-Line Supervisors of Personal Service Workers
62,45,53-5011.00,Sailors and Marine Oilers
62,44,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
62,42,35-3031.00,Waiters and Waitresses
61,61,33-3031.00,Fish and Game Wardens
61,55,25-1071.00,"Health Specialties Teachers, Postsecondary"
61,55,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
61,53,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
61,52,33-9091.00,Crossing Guards
61,52,53-3041.00,Taxi Drivers and Chauffeurs
61,51,47-3016.00,Helpers--Roofers
61,43,35-3011.00,Bartenders
61,41,41-2011.00,Cashiers
61,41,35-9021.00,Dishwashers
60,64,29-1069.07,Pathologists
60,61,33-3021.01,Police Detectives
60,61,53-5021.01,Ship and Boat Captains
60,53,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
60,51,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
60,51,11-9199.02,Compliance Managers
60,50,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
60,50,25-1194.00,"Vocational Education Teachers, Postsecondary"
60,47,47-5021.00,"Earth Drillers, Except Oil and Gas"
60,40,45-2091.00,Agricultural Equipment Operators
60,39,49-9052.00,Telecommunications Line Installers and Repairers
59,61,27-3091.00,Interpreters and Translators
59,59,33-3021.03,Criminal Investigators and Special Agents
59,59,33-2021.01,Fire Inspectors
59,52,29-2081.00,"Opticians, Dispensing"
59,51,53-7064.00,"Packers and Packagers, Hand"
59,47,43-4061.00,"Eligibility Interviewers, Government Programs"
59,46,13-1032.00,"Insurance Appraisers, Auto Damage"
58,58,49-9092.00,Commercial Divers
58,56,11-3121.00,Human Resources Managers
58,56,51-9082.00,Medical Appliance Technicians
58,54,51-1011.00,First-Line Supervisors of Production and Operating Workers
58,53,53-7111.00,Mine Shuttle Car Operators
58,46,49-3011.00,Aircraft Mechanics and Service Technicians
58,43,25-1191.00,Graduate Teaching Assistants
58,43,37-3011.00,Landscaping and Groundskeeping Workers
58,43,43-3071.00,Tellers
58,42,43-4121.00,"Library Assistants, Clerical"
57,55,41-9022.00,Real Estate Sales Agents
57,54,25-9031.00,Instructional Coordinators
57,47,39-2021.00,Nonfarm Animal Caretakers
57,46,35-2021.00,Food Preparation Workers
57,45,27-2022.00,Coaches and Scouts
57,44,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
57,42,53-6051.01,Aviation Inspectors
57,40,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
57,36,33-9099.02,Retail Loss Prevention Specialists
56,64,29-9012.00,Occupational Health and Safety Technicians
56,56,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
56,50,11-3011.00,Administrative Services Managers
56,49,39-3012.00,Gaming and Sports Book Writers and Runners
56,48,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
56,48,51-4121.06,"Welders, Cutters, and Welder Fitters"
56,47,47-2141.00,"Painters, Construction and Maintenance"
56,46,13-2071.00,Credit Counselors
56,46,25-1123.00,"English Language and Literature Teachers, Postsecondary"
56,44,53-7051.00,Industrial Truck and Tractor Operators
