Context,Code,Occupation
95,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
95,11-1011.00,Chief Executives
95,21-2011.00,Clergy
95,43-4041.01,Credit Authorizers
95,21-2021.00,"Directors, Religious Activities and Education"
95,25-2021.00,"Elementary School Teachers, Except Special Education"
95,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
95,35-3041.00,"Food Servers, Nonrestaurant"
95,33-2022.00,Forest Fire Inspectors and Prevention Specialists
95,11-1021.00,General and Operations Managers
95,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
95,13-1041.02,Licensing Examiners and Inspectors
95,43-4031.02,Municipal Clerks
95,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
95,29-1161.00,Nurse Midwives
95,29-1122.00,Occupational Therapists
95,29-2081.00,"Opticians, Dispensing"
95,29-2052.00,Pharmacy Technicians
95,25-2011.00,"Preschool Teachers, Except Special Education"
95,19-1031.02,Range Managers
95,39-9032.00,Recreation Workers
95,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
95,33-3051.03,Sheriffs and Deputy Sheriffs
95,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
95,49-9052.00,Telecommunications Line Installers and Repairers
95,35-3031.00,Waiters and Waitresses
94,39-9011.00,Childcare Workers
94,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
94,11-9121.01,Clinical Research Coordinators
94,27-2022.00,Coaches and Scouts
94,43-9011.00,Computer Operators
94,33-3021.03,Criminal Investigators and Special Agents
94,27-2031.00,Dancers
94,29-1021.00,"Dentists, General"
94,43-4061.00,"Eligibility Interviewers, Government Programs"
94,29-1128.00,Exercise Physiologists
94,27-1022.00,Fashion Designers
94,51-9071.06,Gem and Diamond Workers
94,13-1041.04,Government Property Inspectors and Investigators
94,25-1071.00,"Health Specialties Teachers, Postsecondary"
94,25-1192.00,"Home Economics Teachers, Postsecondary"
94,29-1069.03,Hospitalists
94,13-1071.00,Human Resources Specialists
94,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
94,13-2071.01,Loan Counselors
94,13-2072.00,Loan Officers
94,21-1023.00,Mental Health and Substance Abuse Social Workers
94,21-1014.00,Mental Health Counselors
94,29-9099.01,Midwives
94,47-5042.00,Mine Cutting and Channeling Machine Operators
94,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
94,29-2099.01,Neurodiagnostic Technologists
94,39-2021.00,Nonfarm Animal Caretakers
94,29-1065.00,"Pediatricians, General"
94,27-2012.01,Producers
94,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
94,33-9099.02,Retail Loss Prevention Specialists
94,47-2031.02,Rough Carpenters
94,25-3021.00,Self-Enrichment Education Teachers
94,29-1067.00,Surgeons
94,29-2099.07,Surgical Assistants
93,27-2011.00,Actors
93,53-2021.00,Air Traffic Controllers
93,33-9011.00,Animal Control Workers
93,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
93,33-3011.00,Bailiffs
93,35-3011.00,Bartenders
93,51-8099.01,Biofuels Processing Technicians
93,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
93,35-1011.00,Chefs and Head Cooks
93,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
93,15-1152.00,Computer Network Support Specialists
93,35-2015.00,"Cooks, Short Order"
93,43-4021.00,Correspondence Clerks
93,29-1141.03,Critical Care Nurses
93,13-1199.03,Customs Brokers
93,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
93,11-9032.00,"Education Administrators, Elementary and Secondary School"
93,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
93,43-6011.00,Executive Secretaries and Executive Administrative Assistants
93,11-3031.02,"Financial Managers, Branch or Department"
93,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
93,45-4011.00,Forest and Conservation Workers
93,43-5011.01,Freight Forwarders
93,21-1091.00,Health Educators
93,41-3021.00,Insurance Sales Agents
93,29-1063.00,"Internists, General"
93,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
93,53-5022.00,Motorboat Operators
93,29-1151.00,Nurse Anesthetists
93,43-9061.00,"Office Clerks, General"
93,29-2099.05,Ophthalmic Medical Technologists
93,43-5061.00,"Production, Planning, and Expediting Clerks"
93,43-9081.00,Proofreaders and Copy Markers
93,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
93,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
93,29-1125.00,Recreational Therapists
93,49-9021.02,Refrigeration Mechanics and Installers
93,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
93,39-1012.00,Slot Supervisors
93,41-4011.07,Solar Sales Representatives and Assessors
93,33-3052.00,Transit and Railroad Police
93,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
93,29-1069.12,Urologists
93,29-1131.00,Veterinarians
92,11-2011.00,Advertising and Promotions Managers
92,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
92,29-1125.01,Art Therapists
92,29-1181.00,Audiologists
92,35-3022.01,Baristas
92,25-2032.00,"Career/Technical Education Teachers, Secondary School"
92,53-2012.00,Commercial Pilots
92,11-9199.02,Compliance Managers
92,11-9021.00,Construction Managers
92,19-3031.03,Counseling Psychologists
92,43-5021.00,Couriers and Messengers
92,29-2051.00,Dietetic Technicians
92,53-3031.00,Driver/Sales Workers
92,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
92,33-3031.00,Fish and Game Wardens
92,11-9061.00,Funeral Service Managers
92,21-1022.00,Healthcare Social Workers
92,11-3051.00,Industrial Production Managers
92,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
92,23-1011.00,Lawyers
92,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
92,53-3033.00,Light Truck or Delivery Services Drivers
92,17-3027.00,Mechanical Engineering Technicians
92,33-2011.01,Municipal Firefighters
92,51-8011.00,Nuclear Power Reactor Operators
92,47-2151.00,Pipelayers
92,29-1081.00,Podiatrists
92,29-1024.00,Prosthodontists
92,41-9021.00,Real Estate Brokers
92,53-1021.01,Recycling Coordinators
92,27-3022.00,Reporters and Correspondents
92,13-2099.02,Risk Management Specialists
92,11-9151.00,Social and Community Service Managers
92,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
92,29-2055.00,Surgical Technologists
92,43-9022.00,Word Processors and Typists
91,43-3021.02,"Billing, Cost, and Rate Clerks"
91,11-3051.03,Biofuels Production Managers
91,25-2023.00,"Career/Technical Education Teachers, Middle School"
91,11-3111.00,Compensation and Benefits Managers
91,47-2061.00,Construction Laborers
91,35-2012.00,"Cooks, Institution and Cafeteria"
91,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
91,11-9161.00,Emergency Management Directors
91,51-1011.00,First-Line Supervisors of Production and Operating Workers
91,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
91,39-3012.00,Gaming and Sports Book Writers and Runners
91,39-3011.00,Gaming Dealers
91,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
91,11-3121.00,Human Resources Managers
91,25-2012.00,"Kindergarten Teachers, Except Special Education"
91,49-9094.00,Locksmiths and Safe Repairers
91,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
91,17-3029.07,Mechanical Engineering Technologists
91,29-1125.02,Music Therapists
91,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
91,29-1041.00,Optometrists
91,29-1069.08,Physical Medicine and Rehabilitation Physicians
91,53-5021.03,"Pilots, Ship"
91,29-2053.00,Psychiatric Technicians
91,41-9031.00,Sales Engineers
91,11-9199.07,Security Managers
91,47-4091.00,Segmental Pavers
91,53-5021.01,Ship and Boat Captains
91,53-5031.00,Ship Engineers
91,25-9041.00,Teacher Assistants
91,11-3131.00,Training and Development Managers
91,25-1194.00,"Vocational Education Teachers, Postsecondary"
91,11-9199.09,Wind Energy Operations Managers
90,13-2011.01,Accountants
90,51-9191.00,Adhesive Bonding Machine Operators and Tenders
90,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
90,29-1141.02,Advanced Practice Psychiatric Nurses
90,45-2011.00,Agricultural Inspectors
90,53-2022.00,Airfield Operations Specialists
90,27-3021.00,Broadcast News Analysts
90,53-3022.00,"Bus Drivers, School or Special Client"
90,19-3031.02,Clinical Psychologists
90,49-9092.00,Commercial Divers
90,21-1094.00,Community Health Workers
90,11-3021.00,Computer and Information Systems Managers
90,11-9039.01,Distance Learning Coordinators
90,47-2111.00,Electricians
90,29-2041.00,Emergency Medical Technicians and Paramedics
90,11-9071.00,Gaming Managers
90,25-1191.00,Graduate Teaching Assistants
90,13-1075.00,Labor Relations Specialists
90,43-6012.00,Legal Secretaries
90,53-4011.00,Locomotive Engineers
90,11-3071.03,Logistics Managers
90,39-5091.00,"Makeup Artists, Theatrical and Performance"
90,11-2021.00,Marketing Managers
90,43-5081.02,Marking Clerks
90,29-2091.00,Orthotists and Prosthetists
90,53-6021.00,Parking Lot Attendants
90,33-3021.02,Police Identification and Records Officers
90,43-5051.00,Postal Service Clerks
90,27-3031.00,Public Relations Specialists
90,19-4099.01,Quality Control Analysts
90,27-3011.00,Radio and Television Announcers
90,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
90,49-9081.00,Wind Turbine Service Technicians
89,11-3051.04,Biomass Power Plant Managers
89,17-3022.00,Civil Engineering Technicians
89,13-1041.06,Coroners
89,53-7021.00,Crane and Tower Operators
89,47-5011.00,"Derrick Operators, Oil and Gas"
89,27-3041.00,Editors
89,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
89,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
89,33-1011.00,First-Line Supervisors of Correctional Officers
89,11-9039.02,Fitness and Wellness Coordinators
89,33-2011.02,Forest Firefighters
89,13-1131.00,Fundraisers
89,29-9092.00,Genetic Counselors
89,15-1199.09,Information Technology Project Managers
89,47-2132.00,"Insulation Workers, Mechanical"
89,43-4121.00,"Library Assistants, Clerical"
89,13-1081.00,Logisticians
89,31-9093.00,Medical Equipment Preparers
89,27-1026.00,Merchandise Displayers and Window Trimmers
89,31-1014.00,Nursing Assistants
89,23-2011.00,Paralegals and Legal Assistants
89,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
89,11-3061.00,Purchasing Managers
89,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
89,39-9041.00,Residential Advisors
89,41-3031.01,"Sales Agents, Securities and Commodities"
89,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
89,49-2098.00,Security and Fire Alarm Systems Installers
89,51-8021.00,Stationary Engineers and Boiler Operators
89,11-9199.04,Supply Chain Managers
89,27-2012.04,Talent Directors
89,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
89,13-1151.00,Training and Development Specialists
89,33-9093.00,Transportation Security Screeners
89,25-3099.02,Tutors
88,11-3011.00,Administrative Services Managers
88,13-2011.02,Auditors
88,53-6031.00,Automotive and Watercraft Service Attendants
88,49-3022.00,Automotive Glass Installers and Repairers
88,13-2031.00,Budget Analysts
88,53-3021.00,"Bus Drivers, Transit and Intercity"
88,51-3021.00,Butchers and Meat Cutters
