Context,Code,Occupation
97,49-3022.00,Automotive Glass Installers and Repairers
97,51-8099.01,Biofuels Processing Technicians
97,19-1029.01,Bioinformatics Scientists
97,25-1042.00,"Biological Science Teachers, Postsecondary"
97,51-7011.00,Cabinetmakers and Bench Carpenters
97,25-2032.00,"Career/Technical Education Teachers, Secondary School"
97,35-1011.00,Chefs and Head Cooks
97,47-2031.01,Construction Carpenters
97,27-3043.04,Copy Writers
97,29-2021.00,Dental Hygienists
97,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
97,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
97,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
97,49-3041.00,Farm Equipment Mechanics and Service Technicians
97,45-1011.05,First-Line Supervisors of Logging Workers
97,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
97,33-1012.00,First-Line Supervisors of Police and Detectives
97,33-2022.00,Forest Fire Inspectors and Prevention Specialists
97,13-1131.00,Fundraisers
97,47-2121.00,Glaziers
97,21-1091.00,Health Educators
97,29-2092.00,Hearing Aid Specialists
97,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
97,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
97,17-2112.00,Industrial Engineers
97,33-3021.06,Intelligence Analysts
97,17-2199.04,Manufacturing Engineers
97,43-5081.02,Marking Clerks
97,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
97,53-5022.00,Motorboat Operators
97,17-3029.12,Nanotechnology Engineering Technicians
97,29-2099.01,Neurodiagnostic Technologists
97,39-2021.00,Nonfarm Animal Caretakers
97,29-1199.05,Orthoptists
97,51-9151.00,Photographic Process Workers and Processing Machine Operators
97,33-3021.01,Police Detectives
97,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
97,53-1021.01,Recycling Coordinators
97,29-2054.00,Respiratory Therapy Technicians
97,41-2031.00,Retail Salespersons
97,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
97,11-9151.00,Social and Community Service Managers
97,21-1093.00,Social and Human Service Assistants
97,47-1011.03,Solar Energy Installation Managers
97,27-4014.00,Sound Engineering Technicians
97,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
97,25-2054.00,"Special Education Teachers, Secondary School"
97,43-3071.00,Tellers
97,17-2051.01,Transportation Engineers
97,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
97,47-4099.03,Weatherization Installers and Technicians
96,27-4011.00,Audio and Video Equipment Technicians
96,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
96,19-4021.00,Biological Technicians
96,17-2041.00,Chemical Engineers
96,29-1141.04,Clinical Nurse Specialists
96,47-4011.00,Construction and Building Inspectors
96,47-5041.00,Continuous Mining Machine Operators
96,29-1069.02,Dermatologists
96,17-3012.02,Electrical Drafters
96,17-3012.01,Electronic Drafters
96,33-2021.02,Fire Investigators
96,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
96,19-4041.01,Geophysical Data Technicians
96,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
96,47-5081.00,Helpers--Extraction Workers
96,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
96,11-3051.00,Industrial Production Managers
96,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
96,43-4121.00,"Library Assistants, Clerical"
96,43-4031.03,License Clerks
96,11-9081.00,Lodging Managers
96,11-3071.03,Logistics Managers
96,21-1023.00,Mental Health and Substance Abuse Social Workers
96,33-2011.01,Municipal Firefighters
96,29-9011.00,Occupational Health and Safety Specialists
96,29-2081.00,"Opticians, Dispensing"
96,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
96,31-9097.00,Phlebotomists
96,17-2199.07,Photonics Engineers
96,29-1069.09,Preventive Medicine Physicians
96,21-1092.00,Probation Officers and Correctional Treatment Specialists
96,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
96,11-9199.01,Regulatory Affairs Managers
96,19-3031.01,School Psychologists
96,15-1132.00,"Software Developers, Applications"
96,17-3031.01,Surveying Technicians
96,53-7121.00,"Tank Car, Truck, and Ship Loaders"
96,19-3051.00,Urban and Regional Planners
96,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
95,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
95,29-1125.01,Art Therapists
95,13-2011.02,Auditors
95,27-4012.00,Broadcast Technicians
95,21-2011.00,Clergy
95,11-9199.02,Compliance Managers
95,15-1152.00,Computer Network Support Specialists
95,15-1151.00,Computer User Support Specialists
95,35-2012.00,"Cooks, Institution and Cafeteria"
95,43-4021.00,Correspondence Clerks
95,27-3041.00,Editors
95,11-9032.00,"Education Administrators, Elementary and Secondary School"
95,17-3029.02,Electrical Engineering Technologists
95,25-2021.00,"Elementary School Teachers, Except Special Education"
95,47-4021.00,Elevator Installers and Repairers
95,25-1032.00,"Engineering Teachers, Postsecondary"
95,17-2081.00,Environmental Engineers
95,19-2041.00,"Environmental Scientists and Specialists, Including Health"
95,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
95,51-6092.00,Fabric and Apparel Patternmakers
95,29-1062.00,Family and General Practitioners
95,11-9013.02,Farm and Ranch Managers
95,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
95,11-9051.00,Food Service Managers
95,19-4092.00,Forensic Science Technicians
95,51-9071.06,Gem and Diamond Workers
95,25-1064.00,"Geography Teachers, Postsecondary"
95,47-4041.00,Hazardous Materials Removal Workers
95,47-4051.00,Highway Maintenance Workers
95,29-2011.03,Histotechnologists and Histologic Technicians
95,11-3051.06,Hydroelectric Production Managers
95,49-9041.00,Industrial Machinery Mechanics
95,43-6012.00,Legal Secretaries
95,25-4031.00,Library Technicians
95,53-4011.00,Locomotive Engineers
95,49-9071.00,"Maintenance and Repair Workers, General"
95,17-2121.02,Marine Architects
95,19-1042.00,"Medical Scientists, Except Epidemiologists"
95,29-9099.01,Midwives
95,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
95,43-4141.00,New Accounts Clerks
95,17-3029.01,Non-Destructive Testing Specialists
95,17-2161.00,Nuclear Engineers
95,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
95,23-2011.00,Paralegals and Legal Assistants
95,29-1069.08,Physical Medicine and Rehabilitation Physicians
95,27-2012.03,Program Directors
95,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
95,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
95,41-9021.00,Real Estate Brokers
95,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
95,17-2199.08,Robotics Engineers
95,19-1031.01,Soil and Water Conservationists
95,25-2053.00,"Special Education Teachers, Middle School"
95,43-5081.01,"Stock Clerks, Sales Floor"
95,17-1022.00,Surveyors
95,51-2092.00,Team Assemblers
94,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
94,27-2021.00,Athletes and Sports Competitors
94,13-2031.00,Budget Analysts
94,29-2031.00,Cardiovascular Technologists and Technicians
94,25-1052.00,"Chemistry Teachers, Postsecondary"
94,11-1011.03,Chief Sustainability Officers
94,17-3011.02,Civil Drafters
94,21-1094.00,Community Health Workers
94,21-2021.00,"Directors, Religious Activities and Education"
94,11-9033.00,"Education Administrators, Postsecondary"
94,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
94,41-3099.01,Energy Brokers
94,13-2051.00,Financial Analysts
94,11-9039.02,Fitness and Wellness Coordinators
94,27-1023.00,Floral Designers
94,45-4011.00,Forest and Conservation Workers
94,43-3041.00,Gaming Cage Workers
94,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
94,53-7041.00,Hoist and Winch Operators
94,17-2111.01,Industrial Safety and Health Engineers
94,15-1121.01,Informatics Nurse Specialists
94,11-9199.03,Investment Fund Managers
94,13-2071.01,Loan Counselors
94,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
94,29-2035.00,Magnetic Resonance Imaging Technologists
94,11-2021.00,Marketing Managers
94,51-7031.00,"Model Makers, Wood"
94,29-1125.02,Music Therapists
94,29-1171.00,Nurse Practitioners
94,31-2011.00,Occupational Therapy Assistants
94,29-2057.00,Ophthalmic Medical Technicians
94,51-9123.00,"Painting, Coating, and Decorating Workers"
94,29-2052.00,Pharmacy Technicians
94,47-2151.00,Pipelayers
94,31-1013.00,Psychiatric Aides
94,27-3031.00,Public Relations Specialists
94,19-4099.01,Quality Control Analysts
94,27-3011.00,Radio and Television Announcers
94,29-2099.06,Radiologic Technicians
94,47-2031.02,Rough Carpenters
94,49-2098.00,Security and Fire Alarm Systems Installers
94,15-1199.01,Software Quality Assurance Engineers and Testers
94,29-1127.00,Speech-Language Pathologists
94,31-9099.01,Speech-Language Pathology Assistants
94,51-4111.00,Tool and Die Makers
94,29-1131.00,Veterinarians
94,15-1199.11,Video Game Designers
94,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
93,41-3011.00,Advertising Sales Agents
93,19-4011.01,Agricultural Technicians
93,29-1071.01,Anesthesiologist Assistants
93,13-2021.01,Assessors
93,15-1199.08,Business Intelligence Analysts
93,51-9011.00,Chemical Equipment Operators and Tenders
93,19-4031.00,Chemical Technicians
93,11-9121.01,Clinical Research Coordinators
93,17-2061.00,Computer Hardware Engineers
93,39-3092.00,Costume Attendants
93,43-5021.00,Couriers and Messengers
93,33-3021.03,Criminal Investigators and Special Agents
93,13-1199.03,Customs Brokers
93,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
93,25-1081.00,"Education Teachers, Postsecondary"
93,17-3023.03,Electrical Engineering Technicians
93,17-2072.00,"Electronics Engineers, Except Computer"
93,29-2041.00,Emergency Medical Technicians and Paramedics
93,31-9099.02,Endoscopy Technicians
93,51-2031.00,Engine and Other Machine Assemblers
93,13-1041.01,Environmental Compliance Inspectors
93,17-3025.00,Environmental Engineering Technicians
93,19-1041.00,Epidemiologists
93,47-4031.00,Fence Erectors
93,27-4032.00,Film and Video Editors
93,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
93,41-2012.00,Gaming Change Persons and Booth Cashiers
93,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
93,19-1029.03,Geneticists
93,19-3092.00,Geographers
93,49-9031.00,Home Appliance Repairers
93,17-3026.00,Industrial Engineering Technicians
93,51-4041.00,Machinists
93,17-3029.09,Manufacturing Production Technicians
93,17-3029.07,Mechanical Engineering Technologists
93,19-1022.00,Microbiologists
93,17-2199.06,Microsystems Engineers
93,47-5042.00,Mine Cutting and Channeling Machine Operators
93,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
93,49-3051.00,Motorboat Mechanics and Service Technicians
93,49-9063.00,Musical Instrument Repairers and Tuners
93,39-9011.01,Nannies
93,11-9013.01,Nursery and Greenhouse Managers
93,31-1014.00,Nursing Assistants
93,29-9012.00,Occupational Health and Safety Technicians
93,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
93,29-1069.07,Pathologists
93,51-7032.00,"Patternmakers, Wood"
93,37-2021.00,Pest Control Workers
93,17-3029.08,Photonics Technicians
93,19-2012.00,Physicists
93,53-5021.03,"Pilots, Ship"
93,29-1081.00,Podiatrists
93,51-8013.00,Power Plant Operators
93,51-5113.00,Print Binding and Finishing Workers
93,43-5061.00,"Production, Planning, and Expediting Clerks"
93,11-9141.00,"Property, Real Estate, and Community Association Managers"
93,29-1124.00,Radiation Therapists
93,19-1031.02,Range Managers
93,41-9022.00,Real Estate Sales Agents
93,43-4171.00,Receptionists and Information Clerks
93,29-1141.00,Registered Nurses
93,13-2099.02,Risk Management Specialists
93,17-3024.01,Robotics Technicians
93,41-3031.02,"Sales Agents, Financial Services"
93,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
93,11-9199.07,Security Managers
93,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
93,47-2211.00,Sheet Metal Workers
93,41-4011.07,Solar Sales Representatives and Assessors
93,43-9111.00,Statistical Assistants
93,51-2041.00,Structural Metal Fabricators and Fitters
93,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
93,23-2093.00,"Title Examiners, Abstractors, and Searchers"
93,19-3099.01,Transportation Planners
93,37-3013.00,Tree Trimmers and Pruners
93,51-8031.00,Water and Wastewater Treatment Plant and System Operators
93,19-1023.00,Zoologists and Wildlife Biologists
92,17-3021.00,Aerospace Engineering and Operations Technicians
92,17-1011.00,"Architects, Except Landscape and Naval"
92,25-4011.00,Archivists
92,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
92,49-3023.02,Automotive Specialty Technicians
92,17-2199.01,Biochemical Engineers
92,19-1020.01,Biologists
92,43-4011.00,Brokerage Clerks
92,19-2031.00,Chemists
92,15-1111.00,Computer and Information Research Scientists
92,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
92,13-1041.06,Coroners
92,43-4031.01,Court Clerks
92,27-2031.00,Dancers
92,31-9091.00,Dental Assistants
92,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
92,17-2071.00,Electrical Engineers
92,17-3024.00,Electro-Mechanical Technicians
92,17-3023.01,Electronics Engineering Technicians
92,17-3029.04,Electronics Engineering Technologists
92,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
92,39-1021.00,First-Line Supervisors of Personal Service Workers
92,33-3031.00,Fish and Game Wardens
92,45-3011.00,Fishers and Related Fishing Workers
92,47-3012.00,Helpers--Carpenters
92,47-2132.00,"Insulation Workers, Mechanical"
92,23-1012.00,Judicial Law Clerks
92,13-1081.02,Logistics Analysts
92,11-9199.08,Loss Prevention Managers
92,31-9093.00,Medical Equipment Preparers
92,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
92,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
92,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
92,27-2041.01,Music Directors
92,29-1065.00,"Pediatricians, General"
92,47-2152.01,Pipe Fitters and Steamfitters
92,51-5111.00,Prepress Technicians and Workers
92,17-2072.01,Radio Frequency Identification Device Specialists
92,49-2021.01,Radio Mechanics
92,25-3021.00,Self-Enrichment Education Teachers
