Context,Code,Occupation
97,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
97,19-2041.00,"Environmental Scientists and Specialists, Including Health"
97,13-1041.03,Equal Opportunity Representatives and Officers
97,33-1012.00,First-Line Supervisors of Police and Detectives
97,27-1023.00,Floral Designers
97,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
97,49-9031.00,Home Appliance Repairers
97,33-3021.06,Intelligence Analysts
97,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
97,53-5022.00,Motorboat Operators
97,43-9061.00,"Office Clerks, General"
97,29-1241.00,"Ophthalmologists, Except Pediatric"
97,29-2081.00,"Opticians, Dispensing"
97,27-4021.00,Photographers
97,29-1081.00,Podiatrists
97,43-5061.00,"Production, Planning, and Expediting Clerks"
97,43-3071.00,Tellers
97,53-6051.00,Transportation Inspectors
97,11-3071.00,"Transportation, Storage, and Distribution Managers"
97,11-3031.01,Treasurers and Controllers
97,27-3043.00,Writers and Authors
96,13-2011.00,Accountants and Auditors
96,53-6031.00,Automotive and Watercraft Service Attendants
96,49-3022.00,Automotive Glass Installers and Repairers
96,11-3051.04,Biomass Power Plant Managers
96,21-1021.00,"Child, Family, and School Social Workers"
96,29-1011.00,Chiropractors
96,13-1041.06,Coroners
96,43-4061.00,"Eligibility Interviewers, Government Programs"
96,33-2021.00,Fire Inspectors and Investigators
96,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
96,11-9179.01,Fitness and Wellness Coordinators
96,47-2121.00,Glaziers
96,13-1041.04,Government Property Inspectors and Investigators
96,15-1211.01,Health Informatics Specialists
96,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
96,19-3032.00,Industrial-Organizational Psychologists
96,27-1025.00,Interior Designers
96,17-1012.00,Landscape Architects
96,13-1081.02,Logistics Analysts
96,29-1217.00,Neurologists
96,19-4051.02,Nuclear Monitoring Technicians
96,29-2057.00,Ophthalmic Medical Technicians
96,11-9131.00,Postmasters and Mail Superintendents
96,21-1092.00,Probation Officers and Correctional Treatment Specialists
96,53-1042.01,Recycling Coordinators
96,17-2051.01,Transportation Engineers
96,11-9199.10,Wind Energy Development Managers
95,11-3012.00,Administrative Services Managers
95,11-2011.00,Advertising and Promotions Managers
95,33-9011.00,Animal Control Workers
95,19-1011.00,Animal Scientists
95,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
95,13-1199.04,Business Continuity Planners
95,11-9199.02,Compliance Managers
95,43-4021.00,Correspondence Clerks
95,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
95,17-2111.02,Fire-Prevention and Protection Engineers
95,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
95,15-1299.09,Information Technology Project Managers
95,43-9041.00,Insurance Claims and Policy Processing Clerks
95,13-2053.00,Insurance Underwriters
95,11-9199.08,Loss Prevention Managers
95,13-1111.00,Management Analysts
95,49-9011.00,Mechanical Door Repairers
95,21-1023.00,Mental Health and Substance Abuse Social Workers
95,29-1299.01,Naturopathic Physicians
95,29-2033.00,Nuclear Medicine Technologists
95,29-1161.00,Nurse Midwives
95,31-1132.00,Orderlies
95,13-2052.00,Personal Financial Advisors
95,17-2171.00,Petroleum Engineers
95,29-1071.00,Physician Assistants
95,29-1222.00,"Physicians, Pathologists"
95,19-4012.01,Precision Agriculture Technicians
95,29-2034.00,Radiologic Technologists and Technicians
95,21-1015.00,Rehabilitation Counselors
95,47-4091.00,Segmental Pavers
95,27-2012.04,Talent Directors
95,11-9121.02,Water Resource Specialists
94,25-4011.00,Archivists
94,13-2031.00,Budget Analysts
94,11-1011.03,Chief Sustainability Officers
94,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
94,19-1031.00,Conservation Scientists
94,13-2071.00,Credit Counselors
94,15-1299.03,Document Management Specialists
94,11-9161.00,Emergency Management Directors
94,41-1011.00,First-Line Supervisors of Retail Sales Workers
94,33-2022.00,Forest Fire Inspectors and Prevention Specialists
94,11-9171.00,Funeral Home Managers
94,53-7071.00,Gas Compressor and Gas Pumping Station Operators
94,49-9099.01,Geothermal Technicians
94,21-1091.00,Health Education Specialists
94,27-2012.05,Media Technical Directors/Managers
94,19-4051.00,Nuclear Technicians
94,19-5011.00,Occupational Health and Safety Specialists
94,19-5012.00,Occupational Health and Safety Technicians
94,19-1031.03,Park Naturalists
94,27-2012.00,Producers and Directors
94,33-9099.02,Retail Loss Prevention Specialists
94,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
94,21-1093.00,Social and Human Service Assistants
94,19-3022.00,Survey Researchers
94,43-2011.00,"Switchboard Operators, Including Answering Service"
94,13-1151.00,Training and Development Specialists
94,19-3099.01,Transportation Planners
94,19-3051.00,Urban and Regional Planners
94,17-2051.02,Water/Wastewater Engineers
93,13-2023.00,Appraisers and Assessors of Real Estate
93,49-2097.00,Audiovisual Equipment Installers and Repairers
93,15-1232.00,Computer User Support Specialists
93,33-3051.04,Customs and Border Protection Officers
93,11-9033.00,"Education Administrators, Postsecondary"
93,17-2199.03,"Energy Engineers, Except Wind and Solar"
93,17-2081.00,Environmental Engineers
93,19-1041.00,Epidemiologists
93,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
93,39-1022.00,First-Line Supervisors of Personal Service Workers
93,45-4011.00,Forest and Conservation Workers
93,11-9071.00,Gambling Managers
93,51-9071.06,Gem and Diamond Workers
93,43-4111.00,"Interviewers, Except Eligibility and Loan"
93,29-2061.00,Licensed Practical and Licensed Vocational Nurses
93,17-2121.00,Marine Engineers and Naval Architects
93,17-2141.00,Mechanical Engineers
93,21-1014.00,Mental Health Counselors
93,17-2161.00,Nuclear Engineers
93,33-3051.00,Police and Sheriff's Patrol Officers
93,33-3021.02,Police Identification and Records Officers
93,29-1024.00,Prosthodontists
93,29-1124.00,Radiation Therapists
93,17-2199.11,Solar Energy Systems Engineers
93,13-1199.05,Sustainability Specialists
92,43-3021.00,Billing and Posting Clerks
92,19-1029.04,Biologists
92,17-1021.00,Cartographers and Photogrammetrists
92,21-2011.00,Clergy
92,27-1021.00,Commercial and Industrial Designers
92,13-1051.00,Cost Estimators
92,43-4031.00,"Court, Municipal, and License Clerks"
92,13-2041.00,Credit Analysts
92,47-4011.01,Energy Auditors
92,29-1215.00,Family Medicine Physicians
92,19-4092.00,Forensic Science Technicians
92,13-2099.04,"Fraud Examiners, Investigators and Analysts"
92,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
