Context,Code,Occupation
90,35-1011.00,Chefs and Head Cooks
90,15-1231.00,Computer Network Support Specialists
90,47-5041.00,Continuous Mining Machine Operators
90,33-3051.04,Customs and Border Protection Officers
90,31-9091.00,Dental Assistants
90,27-3041.00,Editors
90,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
90,31-9099.02,Endoscopy Technicians
90,43-6011.00,Executive Secretaries and Executive Administrative Assistants
90,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
90,17-2112.00,Industrial Engineers
90,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
90,13-1081.00,Logisticians
90,17-2199.05,Mechatronics Engineers
90,29-9099.01,Midwives
90,19-4051.02,Nuclear Monitoring Technicians
90,29-1161.00,Nurse Midwives
90,31-9097.00,Phlebotomists
90,17-2199.07,Photonics Engineers
90,31-2022.00,Physical Therapist Aides
90,47-2072.00,Pile Driver Operators
90,43-3061.00,Procurement Clerks
90,43-5061.00,"Production, Planning, and Expediting Clerks"
90,29-1224.00,Radiologists
90,19-1031.02,Range Managers
90,47-5043.00,"Roof Bolters, Mining"
90,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
90,47-5013.00,"Service Unit Operators, Oil and Gas"
90,21-1093.00,Social and Human Service Assistants
90,11-3071.04,Supply Chain Managers
90,53-7121.00,"Tank Car, Truck, and Ship Loaders"
90,27-3042.00,Technical Writers
90,33-9093.00,Transportation Security Screeners
89,11-3012.00,Administrative Services Managers
89,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
89,29-1071.01,Anesthesiologist Assistants
89,39-2021.00,Animal Caretakers
89,17-2031.00,Bioengineers and Biomedical Engineers
89,19-4031.00,Chemical Technicians
89,27-2032.00,Choreographers
89,15-1211.00,Computer Systems Analysts
89,11-9021.00,Construction Managers
89,15-1242.00,Database Administrators
89,47-5011.00,"Derrick Operators, Oil and Gas"
89,11-9032.00,"Education Administrators, Kindergarten through Secondary"
89,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
89,17-3012.00,Electrical and Electronics Drafters
89,17-2072.00,"Electronics Engineers, Except Computer"
89,25-2021.00,"Elementary School Teachers, Except Special Education"
89,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
89,39-1013.00,First-Line Supervisors of Gambling Services Workers
89,51-3093.00,Food Cooking Machine Operators and Tenders
89,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
89,27-1025.00,Interior Designers
89,25-2012.00,"Kindergarten Teachers, Except Special Education"
89,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
89,17-1012.00,Landscape Architects
89,31-9094.00,Medical Transcriptionists
89,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
89,29-1217.00,Neurologists
89,29-1218.00,Obstetricians and Gynecologists
89,31-2012.00,Occupational Therapy Aides
89,29-1123.00,Physical Therapists
89,47-2151.00,Pipelayers
89,51-5113.00,Print Binding and Finishing Workers
89,11-9199.01,Regulatory Affairs Managers
89,29-1126.00,Respiratory Therapists
89,19-3034.00,School Psychologists
89,49-9097.00,Signal and Track Switch Repairers
89,51-3023.00,Slaughterers and Meat Packers
89,15-1253.00,Software Quality Assurance Analysts and Testers
89,29-2056.00,Veterinary Technologists and Technicians
89,11-9199.09,Wind Energy Operations Managers
88,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
88,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
88,27-4012.00,Broadcast Technicians
88,47-2031.00,Carpenters
88,17-2041.00,Chemical Engineers
88,49-9092.00,Commercial Divers
88,35-2015.00,"Cooks, Short Order"
88,41-2021.00,Counter and Rental Clerks
88,29-1213.00,Dermatologists
88,17-2071.00,Electrical Engineers
88,51-6092.00,Fabric and Apparel Patternmakers
88,27-4032.00,Film and Video Editors
88,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
88,51-1011.00,First-Line Supervisors of Production and Operating Workers
88,53-2031.00,Flight Attendants
88,53-7071.00,Gas Compressor and Gas Pumping Station Operators
88,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
88,17-3026.00,Industrial Engineering Technologists and Technicians
88,11-3051.00,Industrial Production Managers
88,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
88,33-3021.06,Intelligence Analysts
88,13-2072.00,Loan Officers
88,29-2099.05,Ophthalmic Medical Technologists
88,43-4151.00,Order Clerks
88,31-1132.00,Orderlies
88,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
88,41-2022.00,Parts Salespersons
88,29-1051.00,Pharmacists
88,43-9081.00,Proofreaders and Copy Markers
88,43-5031.00,Public Safety Telecommunicators
88,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
88,11-3061.00,Purchasing Managers
88,29-2034.00,Radiologic Technologists and Technicians
88,43-3071.00,Tellers
88,17-2051.01,Transportation Engineers
88,19-3099.01,Transportation Planners
88,49-9081.00,Wind Turbine Service Technicians
87,11-2011.00,Advertising and Promotions Managers
87,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
87,17-2011.00,Aerospace Engineers
87,27-2021.00,Athletes and Sports Competitors
87,13-2031.00,Budget Analysts
87,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
87,39-9011.00,Childcare Workers
87,19-2041.01,Climate Change Policy Analysts
87,39-6012.00,Concierges
87,35-2012.00,"Cooks, Institution and Cafeteria"
87,27-3092.00,Court Reporters and Simultaneous Captioners
87,27-2031.00,Dancers
87,33-3021.00,Detectives and Criminal Investigators
87,11-9033.00,"Education Administrators, Postsecondary"
87,25-1081.00,"Education Teachers, Postsecondary"
87,19-1041.00,Epidemiologists
87,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
87,35-3023.00,Fast Food and Counter Workers
87,43-5011.01,Freight Forwarders
87,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
87,47-5081.00,Helpers--Extraction Workers
87,19-3032.00,Industrial-Organizational Psychologists
87,31-9092.00,Medical Assistants
