Context,Code,Occupation
84,29-1064.00,Obstetricians and Gynecologists
84,29-1199.05,Orthoptists
84,29-1065.00,"Pediatricians, General"
84,31-2021.00,Physical Therapist Assistants
84,43-3061.00,Procurement Clerks
84,29-2034.00,Radiologic Technologists
83,53-2022.00,Airfield Operations Specialists
83,29-1069.01,Allergists and Immunologists
83,43-5011.00,Cargo and Freight Agents
83,11-1011.00,Chief Executives
83,45-4011.00,Forest and Conservation Workers
83,39-4021.00,Funeral Attendants
83,29-1069.03,Hospitalists
83,49-9094.00,Locksmiths and Safe Repairers
83,43-4151.00,Order Clerks
83,29-1071.00,Physician Assistants
83,29-1069.09,Preventive Medicine Physicians
83,53-1021.01,Recycling Coordinators
83,49-2098.00,Security and Fire Alarm Systems Installers
83,29-1067.00,Surgeons
82,45-2011.00,Agricultural Inspectors
82,21-1021.00,"Child, Family, and School Social Workers"
82,27-3043.04,Copy Writers
82,39-1021.00,First-Line Supervisors of Personal Service Workers
82,41-2012.00,Gaming Change Persons and Booth Cashiers
82,27-2041.01,Music Directors
82,29-1122.00,Occupational Therapists
82,43-9061.00,"Office Clerks, General"
82,31-9097.00,Phlebotomists
82,29-1081.00,Podiatrists
82,11-3051.01,Quality Control Systems Managers
82,11-2022.00,Sales Managers
82,21-1093.00,Social and Human Service Assistants
82,29-1069.12,Urologists
81,53-2021.00,Air Traffic Controllers
81,53-1011.00,Aircraft Cargo Handling Supervisors
81,35-3011.00,Bartenders
81,29-2031.00,Cardiovascular Technologists and Technicians
81,17-1021.00,Cartographers and Photogrammetrists
81,21-2011.00,Clergy
81,35-2015.00,"Cooks, Short Order"
81,31-9091.00,Dental Assistants
81,29-2032.00,Diagnostic Medical Sonographers
81,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
81,35-2021.00,Food Preparation Workers
81,11-9051.00,Food Service Managers
81,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
81,43-6012.00,Legal Secretaries
81,43-4031.03,License Clerks
81,11-2021.00,Marketing Managers
81,29-1069.04,Neurologists
81,53-6021.00,Parking Lot Attendants
81,29-1126.00,Respiratory Therapists
81,33-9099.02,Retail Loss Prevention Specialists
