Importance,Level,Code,Occupation
82,75,29-1122.00,Occupational Therapists
82,75,25-1067.00,"Sociology Teachers, Postsecondary"
82,73,13-1071.00,Human Resources Specialists
82,73,29-1199.05,Orthoptists
82,72,31-9091.00,Dental Assistants
82,72,21-1015.00,Rehabilitation Counselors
82,66,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
82,65,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
82,62,31-1014.00,Nursing Assistants
81,84,33-3031.00,Fish and Game Wardens
81,84,27-2012.03,Program Directors
81,82,19-2041.01,Climate Change Analysts
81,79,25-9031.01,Instructional Designers and Technologists
81,79,49-9095.00,Manufactured Building and Mobile Home Installers
81,78,13-2099.04,"Fraud Examiners, Investigators and Analysts"
81,78,13-1161.00,Market Research Analysts and Marketing Specialists
81,78,19-3099.01,Transportation Planners
81,77,25-1071.00,"Health Specialties Teachers, Postsecondary"
81,76,19-1031.01,Soil and Water Conservationists
81,76,39-7012.00,Travel Guides
81,75,29-9091.00,Athletic Trainers
81,75,13-2011.02,Auditors
81,75,13-1041.04,Government Property Inspectors and Investigators
81,75,13-1199.02,Security Management Specialists
81,75,27-1027.00,Set and Exhibit Designers
81,74,43-4141.00,New Accounts Clerks
81,72,29-1063.00,"Internists, General"
81,71,29-9092.00,Genetic Counselors
81,71,39-1012.00,Slot Supervisors
81,68,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
81,66,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
81,65,41-3021.00,Insurance Sales Agents
80,80,19-3091.01,Anthropologists
80,79,11-9199.01,Regulatory Affairs Managers
80,77,13-1041.06,Coroners
80,77,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
80,77,27-3022.00,Reporters and Correspondents
80,76,17-2081.00,Environmental Engineers
80,76,23-1011.00,Lawyers
80,76,19-3031.01,School Psychologists
80,75,25-2053.00,"Special Education Teachers, Middle School"
80,74,19-4061.01,City and Regional Planning Aides
80,73,27-1025.00,Interior Designers
80,73,13-1081.00,Logisticians
80,73,29-2091.00,Orthotists and Prosthetists
80,73,43-3071.00,Tellers
80,72,19-2041.00,"Environmental Scientists and Specialists, Including Health"
80,72,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
80,71,29-1141.03,Critical Care Nurses
80,70,39-9032.00,Recreation Workers
80,70,17-2051.01,Transportation Engineers
80,69,29-2054.00,Respiratory Therapy Technicians
80,69,25-2051.00,"Special Education Teachers, Preschool"
80,68,29-1069.12,Urologists
80,65,19-4011.02,Food Science Technicians
80,65,31-2011.00,Occupational Therapy Assistants
80,60,45-2091.00,Agricultural Equipment Operators
79,78,13-2099.02,Risk Management Specialists
79,78,29-1069.11,Sports Medicine Physicians
79,76,11-9121.00,Natural Sciences Managers
79,76,33-3051.01,Police Patrol Officers
79,76,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
79,75,11-3011.00,Administrative Services Managers
79,75,29-1022.00,Oral and Maxillofacial Surgeons
79,75,11-9199.10,Wind Energy Project Managers
79,74,13-1041.07,Regulatory Affairs Specialists
79,73,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
79,73,11-9081.00,Lodging Managers
79,72,19-4093.00,Forest and Conservation Technicians
79,72,11-3051.00,Industrial Production Managers
79,72,27-2012.01,Producers
79,71,13-1199.04,Business Continuity Planners
79,71,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
79,71,17-2081.01,Water/Wastewater Engineers
79,70,25-2023.00,"Career/Technical Education Teachers, Middle School"
79,70,39-4011.00,Embalmers
79,70,27-4021.00,Photographers
79,70,17-2072.01,Radio Frequency Identification Device Specialists
79,70,25-3099.02,Tutors
79,69,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
79,69,53-1021.01,Recycling Coordinators
79,68,31-2012.00,Occupational Therapy Aides
79,67,13-1051.00,Cost Estimators
79,67,41-9011.00,Demonstrators and Product Promoters
79,67,17-3027.00,Mechanical Engineering Technicians
79,66,43-4121.00,"Library Assistants, Clerical"
78,78,17-2111.01,Industrial Safety and Health Engineers
78,78,13-1121.00,"Meeting, Convention, and Event Planners"
78,78,11-9151.00,Social and Community Service Managers
78,77,29-1141.01,Acute Care Nurses
78,77,29-1067.00,Surgeons
78,76,25-4012.00,Curators
78,75,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
78,75,29-9012.00,Occupational Health and Safety Technicians
78,73,43-4051.00,Customer Service Representatives
78,72,25-3021.00,Self-Enrichment Education Teachers
78,71,29-1128.00,Exercise Physiologists
78,71,25-2012.00,"Kindergarten Teachers, Except Special Education"
78,71,29-2057.00,Ophthalmic Medical Technicians
78,71,19-1013.00,Soil and Plant Scientists
78,70,13-2051.00,Financial Analysts
78,69,33-1021.02,Forest Fire Fighting and Prevention Supervisors
78,68,11-9013.01,Nursery and Greenhouse Managers
78,68,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
78,68,43-9111.00,Statistical Assistants
78,67,11-9071.00,Gaming Managers
78,66,29-1123.00,Physical Therapists
78,66,29-2099.06,Radiologic Technicians
78,63,29-2053.00,Psychiatric Technicians
77,76,33-3021.03,Criminal Investigators and Special Agents
77,76,47-1011.03,Solar Energy Installation Managers
77,73,17-2199.01,Biochemical Engineers
77,73,11-3051.02,Geothermal Production Managers
77,73,17-1012.00,Landscape Architects
77,73,33-3021.01,Police Detectives
77,72,21-2011.00,Clergy
77,72,27-2042.02,"Musicians, Instrumental"
77,71,29-1069.07,Pathologists
77,71,43-4171.00,Receptionists and Information Clerks
77,70,11-3051.04,Biomass Power Plant Managers
77,70,19-1032.00,Foresters
77,70,31-9097.00,Phlebotomists
77,69,17-2199.06,Microsystems Engineers
77,69,11-9141.00,"Property, Real Estate, and Community Association Managers"
77,69,15-1199.11,Video Game Designers
77,68,31-2022.00,Physical Therapist Aides
77,67,43-4061.00,"Eligibility Interviewers, Government Programs"
76,78,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
76,78,25-2032.00,"Career/Technical Education Teachers, Secondary School"
76,75,17-1011.00,"Architects, Except Landscape and Naval"
76,74,19-3091.02,Archeologists
76,74,33-2022.00,Forest Fire Inspectors and Prevention Specialists
76,74,31-9099.01,Speech-Language Pathology Assistants
76,73,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
76,72,11-3031.02,"Financial Managers, Branch or Department"
76,72,19-3093.00,Historians
76,72,11-3071.03,Logistics Managers
76,71,45-2011.00,Agricultural Inspectors
76,71,11-9021.00,Construction Managers
76,71,15-1199.04,Geospatial Information Scientists and Technologists
76,71,21-1092.00,Probation Officers and Correctional Treatment Specialists
76,70,53-2022.00,Airfield Operations Specialists
76,70,35-3022.01,Baristas
76,70,15-1199.12,Document Management Specialists
76,70,31-1013.00,Psychiatric Aides
76,70,25-1194.00,"Vocational Education Teachers, Postsecondary"
76,69,13-2011.01,Accountants
76,69,53-3031.00,Driver/Sales Workers
76,65,25-2011.00,"Preschool Teachers, Except Special Education"
75,79,25-1113.00,"Social Work Teachers, Postsecondary"
75,77,27-3021.00,Broadcast News Analysts
75,76,25-1122.00,"Communications Teachers, Postsecondary"
75,75,11-2011.00,Advertising and Promotions Managers
75,75,17-2112.01,Human Factors Engineers and Ergonomists
75,74,23-1022.00,"Arbitrators, Mediators, and Conciliators"
75,73,13-2031.00,Budget Analysts
75,73,17-2111.02,Fire-Prevention and Protection Engineers
75,72,19-1029.03,Geneticists
75,72,43-4131.00,Loan Interviewers and Clerks
75,71,13-2071.00,Credit Counselors
75,71,29-2021.00,Dental Hygienists
75,71,11-9131.00,Postmasters and Mail Superintendents
75,71,27-2042.01,Singers
75,70,35-3011.00,Bartenders
