zip_code,latitude,longitude,population_density,employment_density,plant_size,employment,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
01144,42.101799,-72.591499,,,12.3,466,,,,,,
01151,42.153198,-72.504997,1418,288,6.9000001,604,19,25,11,35,44,20
01201,42.453098,-73.247101,339,199,14,16115,21,32,6,42,48,24
01202,42.392899,-73.2285,,,3,18,,,,,,
01220,42.622299,-73.117203,135,25,7.8000002,1007,23,27,10,40,49,22
01222,42.059601,-73.320198,97,13,8,32,21,17,13,29,41,10
01223,42.359402,-73.1203,13,2,7,210,21,31,11,42,50,30
01225,42.5611,-73.157997,48,8,7.4000001,265,18,22,24,33,55,22
01226,42.474998,-73.160301,102,18,7.8000002,783,24,25,9,39,47,20
01230,42.1959,-73.360703,36,23,8.3000002,3091,24,39,4,50,54,31
01235,42.429798,-73.072403,23,2,5.5,164,23,23,11,37,46,23
01236,42.265301,-73.374496,121,29,5.3000002,133,31,18,9,38,45,16
01237,42.5173,-73.228203,16,11,9.1999998,816,18,50,4,55,58,45
01238,42.299,-73.231697,67,40,10,2371,20,49,4,56,60,43
01240,42.364201,-73.271301,82,74,8.8000002,1847,26,40,4,49,52,28
01245,42.186699,-73.206497,14,1,2.7,8,21,4,34,22,48,12
01247,42.695499,-73.080002,118,40,9,2444,21,39,7,48,54,32
01253,42.1931,-73.091797,15,4,5.4000001,81,25,16,15,31,43,17
01254,42.378399,-73.364502,26,3,3,57,29,13,12,34,43,15
01255,42.109402,-73.116302,7,1,2.7,16,17,20,23,32,50,25
01257,42.100101,-73.361099,23,14,6.6999998,502,26,30,12,42,52,23
01258,42.1012,-73.456596,6,5,7.8000002,132,21,31,7,42,48,29
01259,42.077999,-73.260902,10,3,2.5999999,41,27,21,16,36,48,18
01262,42.300999,-73.322304,40,49,5.8000002,266,26,44,4,54,57,33
01266,42.334801,-73.3825,22,3,6.9000001,172,23,23,12,37,47,24
01267,42.7089,-73.203598,57,21,8.1000004,1292,25,36,4,46,50,26
01270,42.514999,-73.041199,9,1,7.8000002,39,21,4,34,22,48,12
01301,42.601299,-72.623596,268,150,11.9,5499,22,38,5,45,49,28
01302,42.522202,-72.624199,,,9.8000002,59,,,,,,
01330,42.523201,-72.810997,17,3,7.5999999,137,25,34,8,47,54,28
01331,42.595901,-72.2267,96,29,8.3999996,1356,19,42,8,50,57,35
01337,42.695202,-72.577202,27,6,9.8000002,236,16,27,17,37,51,29
01338,42.573601,-72.821297,21,16,4,24,39,14,4,44,47,13
01339,42.608002,-72.890099,10,2,6.8000002,102,14,34,13,41,53,32
01340,42.679001,-72.726501,15,2,6.1999998,37,13,51,6,56,61,51
01342,42.5406,-72.607201,32,9,7.6999998,23,40,35,1,45,46,6
01344,42.607601,-72.429199,42,7,18.299999,55,8,52,0,53,54,51
01351,42.5429,-72.532799,42,4,3.8,45,37,19,9,44,51,15
01354,42.6404,-72.499496,42,7,9.3000002,74,24,22,5,40,44,26
01360,42.688702,-72.450996,34,7,7.1999998,143,28,30,6,40,45,19
01364,42.6129,-72.292397,78,17,7.5999999,661,17,16,17,26,42,14
01366,42.489799,-72.189301,12,1,3.4000001,57,33,19,18,41,55,14
01370,42.6022,-72.739098,32,5,6.3000002,495,24,34,7,47,52,26
01373,42.475601,-72.615303,74,55,7.8000002,894,25,30,9,45,53,24
01375,42.453899,-72.567596,100,22,11.4,318,22,42,3,53,56,37
01376,42.595402,-72.555702,734,297,8.6999998,556,23,40,4,46,49,30
01379,42.565601,-72.400902,10,1,2.7,8,46,21,1,54,55,13
01420,42.579601,-71.803101,514,154,10.9,7399,20,27,10,37,46,21
01430,42.649601,-71.926697,64,8,5.8000002,420,19,23,9,34,43,22
01431,42.6745,-71.817398,50,4,3.3,113,27,11,23,31,51,11
01432,42.559101,-71.578796,324,222,8.3000002,1697,19,18,15,31,46,15
01434,42.538502,-71.611504,131,269,11.9,476,29,17,3,37,40,13
01436,42.593601,-72.064598,134,15,6.3000002,88,20,41,6,50,55,36
01440,42.574001,-71.989799,327,129,12.5,4294,18,33,7,41,47,28
01441,42.545898,-71.910599,,,8,48,,,,,,
01450,42.6124,-71.558403,125,26,6.8000002,1095,24,32,6,44,49,23
01451,42.4986,-71.575302,96,20,6.5,556,36,23,4,47,50,16
01452,42.4865,-72.001198,41,4,5.8000002,169,26,11,22,30,47,12
01453,42.527401,-71.756302,554,280,13.7,14167,20,28,9,38,47,24
01460,42.5401,-71.487701,209,178,11.8,3385,31,25,5,44,49,19
01462,42.588402,-71.726601,147,38,6.8000002,1286,22,35,11,45,55,30
01463,42.6689,-71.593399,196,27,6.9000001,1362,24,26,13,39,50,21
01464,42.573399,-71.6483,185,44,7.9000001,688,24,17,8,34,41,16
