naics_2d,teamwork_interact_share,customer_interact_share,presence_interact_share,communication_interact_share
44,13,66,5,67
72,8,50,1,51
71,12,38,2,40
81,12,30,12,33
56,17,24,7,27
42,8,12,12,15
48,8,9,32,14
54,5,10,1,12
31,7,5,10,9
11,4,1,23,4
